OrderID, Date, Quantity, Product, CustomerName
O456, 2023-09-29, 3, Widget, Michael
O457, 2023-09-30, 2, Gadget, Emily
O458, 2023-10-01, 5, Gizmo, Sarah
O459, 2023-10-02, 1, Widget, John
O460, 2023-10-03, 4, Gadget, David
O461, 2023-10-04, 2, Gizmo, Olivia
O462, 2023-10-05, 3, Widget, Ethan
O463, 2023-10-06, 1, Gadget, Sophia
O464, 2023-10-07, 2, Widget, Liam
O465, 2023-10-08, 4, Gizmo, Mia
O466, 2023-10-09, 1, Widget, Ava
O467, 2023-10-10, 3, Gadget, Noah
O468, 2023-10-11, 2, Gizmo, Isabella
O469, 2023-10-12, 5, Widget, James
O470, 2023-10-13, 1, Gadget, Emma
O471, 2023-10-14, 2, Widget, William
O472, 2023-10-15, 4, Gizmo, Sophia
O473, 2023-10-16, 1, Widget, Benjamin
O474, 2023-10-17, 3, Gadget, Olivia
O475, 2023-10-18, 2, Gizmo, Michael
O476, 2023-10-19, 5, Widget, Mia

